MCC,Country,Flag
542,Fiji ,<img src='http://freedmr.cymru/talkgroups/flags/542.png' />
544,American Samoa (United States of America) ,<img src='http://freedmr.cymru/talkgroups/flags/544.png' />
545,Kiribati ,<img src='http://freedmr.cymru/talkgroups/flags/545.png' />
548,Cook Islands (Pacific Ocean) ,<img src='http://freedmr.cymru/talkgroups/flags/548.png' />
549,Samoa ,<img src='http://freedmr.cymru/talkgroups/flags/549.png' />
550,"Micronesia, Federated States of ",<img src='http://freedmr.cymru/talkgroups/flags/550.png' />
551,Marshall Islands ,<img src='http://freedmr.cymru/talkgroups/flags/551.png' />
552,Palau ,<img src='http://freedmr.cymru/talkgroups/flags/552.png' />
553,Tuvalu ,<img src='http://freedmr.cymru/talkgroups/flags/553.png' />
602,Egypt ,<img src='http://freedmr.cymru/talkgroups/flags/602.png' />
603,Algeria ,<img src='http://freedmr.cymru/talkgroups/flags/603.png' />
604,Morocco ,<img src='http://freedmr.cymru/talkgroups/flags/604.png' />
605,Tunisia ,<img src='http://freedmr.cymru/talkgroups/flags/605.png' />
606,Libya ,<img src='http://freedmr.cymru/talkgroups/flags/606.png' />
607,Gambia ,<img src='http://freedmr.cymru/talkgroups/flags/607.png' />
608,Senegal ,<img src='http://freedmr.cymru/talkgroups/flags/608.png' />
609,Mauritania ,<img src='http://freedmr.cymru/talkgroups/flags/609.png' />
610,Mali ,<img src='http://freedmr.cymru/talkgroups/flags/610.png' />
611,Guinea ,<img src='http://freedmr.cymru/talkgroups/flags/611.png' />
613,Burkina Faso ,<img src='http://freedmr.cymru/talkgroups/flags/613.png' />
614,Niger ,<img src='http://freedmr.cymru/talkgroups/flags/614.png' />
615,Togo ,<img src='http://freedmr.cymru/talkgroups/flags/615.png' />
616,Benin ,<img src='http://freedmr.cymru/talkgroups/flags/616.png' />
617,Mauritius ,<img src='http://freedmr.cymru/talkgroups/flags/617.png' />
618,Liberia ,<img src='http://freedmr.cymru/talkgroups/flags/618.png' />
619,Sierra Leone ,<img src='http://freedmr.cymru/talkgroups/flags/619.png' />
620,Ghana ,<img src='http://freedmr.cymru/talkgroups/flags/620.png' />
621,Nigeria ,<img src='http://freedmr.cymru/talkgroups/flags/621.png' />
622,Chad ,<img src='http://freedmr.cymru/talkgroups/flags/622.png' />
623,Central African Republic ,<img src='http://freedmr.cymru/talkgroups/flags/623.png' />
624,Cameroon ,<img src='http://freedmr.cymru/talkgroups/flags/624.png' />
625,Cape Verde ,<img src='http://freedmr.cymru/talkgroups/flags/625.png' />
626,Sao Tome and Principe ,<img src='http://freedmr.cymru/talkgroups/flags/626.png' />
627,Equatorial Guinea ,<img src='http://freedmr.cymru/talkgroups/flags/627.png' />
628,Gabon ,<img src='http://freedmr.cymru/talkgroups/flags/628.png' />
631,Angola ,<img src='http://freedmr.cymru/talkgroups/flags/631.png' />
632,Guinea-Bissau ,<img src='http://freedmr.cymru/talkgroups/flags/632.png' />
